RANKDetermined by total points. The athlete with the fewest points wins.,NAME,POINTSThe sum of an athlete's workout rankings. Based on a points-per-place ranking system.,18.1,18.2,18.2A,18.3,18.4,18.5
281,"PETRKIRIOGLO
Europe North
Age 26
200 lb
View Profile",4724,"143rd(448 reps)14 rounds +
0 toes-to-barsJudged by Kseniia Ponomareva at CrossFit Geraklion Salut.","129th(4:11)110 reps
325 lb.(4:11)Judged by Alexey Barymov at CrossFit Geraklion Salut.",1514th(325 lb)325 lb.(4:11)Judged by Alexey Barymov at CrossFit Geraklion Salut.,"682nd(740 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
44 double-unders(12:33)Judged by Kseniia Ponomareva at CrossFit Geraklion Salut.","2078th(141 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
25 ft. handstand walk(8:28)Judged by Eugeny Bogachev at CrossFit Geraklion Salut.","178th(170 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
2 thr.Judged by Kseniia Ponomareva at CrossFit Geraklion Salut."
282,"KYLEMONTGOMERYACCEPTED
Mid Atlantic
Age 23
74 in | 205 lb
View Profile",4728,"671st(429 reps)13 rounds +
8 toes-to-bars
5 clean & jerksJudged by Gage Capel at CrossFit Reignited ILM.","1387th(4:47)110 reps
347 lb.(4:47)Judged by Gage Capel at CrossFit Reignited ILM.",363rd(347 lb)347 lb.(4:47)Judged by Gage Capel at CrossFit Reignited ILM.,"975th(706 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
10 double-unders(13:02)Judged by Raymond Nicholas Mazejka at CrossFit Reignited ILM.","933rd(153 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
7 deadlifts(7:25)Judged by Gage Capel at CrossFit Reignited ILM.","399th(164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Raymond Nicholas Mazejka at CrossFit Reignited ILM."
283,"MATTHEWREILLYACCEPTED
Australasia
Age 29
187 cm | 220 lb
View Profile",4765,"34th (462 reps)14 rounds +
8 toes-to-bars
6 clean & jerksJudged by Natalie Grant at CrossFit Urge.","2974th(5:09)110 reps
331 lb.(5:09)Judged by James Wood at CrossFit Urge.",1095th(331 lb)331 lb.(5:09)Judged by James Wood at CrossFit Urge.,"75th (832 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
16 double-unders(13:05)Judged by Shane Ormerod at CrossFit Urge.",226th(8:34)165 reps(8:34)Judged by Madeline Sturt at CrossFit Urge.,"361st(165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Natalie Grant at CrossFit Urge."
284,"BRAEDENSTUBBLEFIELDACCEPTED
South East
Age 22
190 lb
View Profile",4767,"900th(424 reps)13 rounds +
8 toes-to-barsJudged by Kevin Mangru at CrossFit En Fuego.","523rd(4:28)110 reps
321 lb.(4:28)Judged by Cruz Stubblefield at CrossFit En Fuego.",1909th(321 lb)321 lb.(4:28)Judged by Cruz Stubblefield at CrossFit En Fuego.,"756th(730 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
34 double-unders(12:35)Judged by Cruz Stubblefield at CrossFit En Fuego.",134th(8:08)165 reps(8:08)Judged by Cruz Stubblefield at CrossFit En Fuego.,"545th(161 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 14 PUJudged by Cruz Stubblefield at CrossFit En Fuego."
285,"JORGEARAGONACCEPTED
South West
Age 24
66 in | 175 lb
View Profile",4779,"419th(435 reps)13 rounds +
8 toes-to-bars
10 clean & jerks
1 caloriesJudged by Rebecca Mendez at East Valley CrossFit.","920th(4:38)110 reps
317 lb.(4:38)Judged by Bruce Briggs at East Valley CrossFit.",2265th(317 lb)317 lb.(4:38)Judged by Bruce Briggs at East Valley CrossFit.,"297th(798 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
2 snatches(13:54)Judged by Andy Timm at East Valley CrossFit.",233rd(8:37)165 reps(8:37)Judged by Craig Halver at East Valley CrossFit.,"645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Bruce Briggs at East Valley CrossFit."
286,"JACOBPFAFFACCEPTED
Asia
Age 26
67 in | 215 lb
View Profile",4792,"900th(424 reps)13 rounds +
8 toes-to-barsJudged by Angela Walter at Humphreys CrossFit.","369th(4:23)110 reps
367 lb.(4:23)Judged by Angela Walter at Humphreys CrossFit.",77th (367 lb)367 lb.(4:23)Judged by Angela Walter at Humphreys CrossFit.,"2431st(689 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
5 ring muscle-ups(13:27)Judged by Maria Albaladejo at Humphreys CrossFit.",370th(8:55)165 reps(8:55)Judged by Maria Albaladejo at CrossFit Marvel.,"645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Maria Albaladejo at CrossFit Marvel."
286,"JIMOOSONTEAM
Asia
Age 27
170 cm | 174 lb
View Profile",4792,"1029th(422 reps)13 rounds +
6 toes-to-barsJudged by Ryan Kim at CrossFit Limelight.","523rd(4:28)110 reps
317 lb.(4:28)Judged by Ryan Kim at CrossFit Limelight.",2255th(317 lb)317 lb.(4:28)Judged by Ryan Kim at CrossFit Limelight.,"528th(764 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
68 double-unders(12:05)Judged by Ryan Kim at CrossFit Limelight.",314th(8:49)165 reps(8:49)Judged by Ryan Kim at CrossFit Limelight.,"143rd(172 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
4 thr.Judged by Ryan Kim at CrossFit Limelight."
288,"NICOLAPETRUZZIACCEPTED
Europe South
Age 31
180 cm | 80 kg
View Profile",4829,"43rd (460 reps)14 rounds +
8 toes-to-bars
4 clean & jerksJudged by Maurizio Ragone at CrossFit Mola di Bari.","457th(4:26)110 reps
315 lb.(4:26)Judged by Maurizio Ragone at CrossFit Mola di Bari.",2594th(315 lb)315 lb.(4:26)Judged by Maurizio Ragone at CrossFit Mola di Bari.,"571st(757 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
61 double-unders(11:50)Judged by Maurizio Ragone at CrossFit Mola di Bari.","519th(161 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
30 ft. handstand walk(8:10)Judged by Maurizio Ragone at CrossFit Mola di Bari.","645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Maurizio Ragone at CrossFit Mola di Bari."
289,"GIANLUCASTITZERACCEPTED
Europe South
Age 29
182 cm | 94 kg
View Profile",4831,"446th(434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Stefano Ottonelli at Reebok CrossFit Officine.","596th(4:30)110 reps
324 lb.(4:30)Judged by Luca Pasqua at Reebok CrossFit Officine.",1735th(324 lb)324 lb.(4:30)Judged by Luca Pasqua at Reebok CrossFit Officine.,"176th(807 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
11 snatches(13:38)Judged by Roberto Cavallone at Reebok CrossFit Officine.","1159th(150 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
4 deadlifts(7:09)Judged by Giuseppe Dicarlo at Reebok CrossFit Officine.","719th(158 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 11 PUJudged by Alessandra Nurra at Reebok CrossFit Officine."
290,"SCOTTTETLOWACCEPTED
South Central
Age 25
63 in | 172 lb
View Profile",4836,"1336th(416 reps)13 rounds +
0 toes-to-barsJudged by Audrey Straney at Finish Strong CrossFit.","33rd(3:59)110 reps
317 lb.(3:59)Judged by Jeannie Dimitri at Finish Strong CrossFit.",2241st(317 lb)317 lb.(3:59)Judged by Jeannie Dimitri at Finish Strong CrossFit.,"256th(801 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
5 snatches(13:49)Judged by Torrey Dallas at Finish Strong CrossFit.","851st(155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:59)Judged by Torrey Dallas at Finish Strong CrossFit.","119th(173 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
5 thr.Judged by Jeannie Dimitri at Finish Strong CrossFit."
291,"ALBERT-DOMINICLAROUCHE
Canada East
Age 28
70 in | 200 lb
View Profile",4843,"91st (453 reps)14 rounds +
5 toes-to-barsJudged by Elisabeth Barassin at CrossFit Adm.","418th(4:25)110 reps
342 lb.(4:25)Judged by Elisabeth Barassin at CrossFit Adm.",534th(342 lb)342 lb.(4:25)Judged by Elisabeth Barassin at CrossFit Adm.,"414th(780 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
84 double-unders(11:45)Judged by Elisabeth Barassin at CrossFit Adm.",120th(8:03)165 reps(8:03)Judged by Elisabeth Barassin at CrossFit Adm.,"3266th(139 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
13 thr.Judged by Elisabeth Barassin at CrossFit Adm."
292,"CHRISMEDCRAFTTEAM
Australasia
Age 30
180 cm | 198 lb
View Profile",4857,"719th(428 reps)13 rounds +
8 toes-to-bars
4 clean & jerksJudged by Cameron Kuszla at CrossFit Craigieburn.","206th(4:16)110 reps
333 lb.(4:16)Judged by Loren Lauder at CrossFit Craigieburn.",981st(333 lb)333 lb.(4:16)Judged by Loren Lauder at CrossFit Craigieburn.,"1936th(691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(13:12)Judged by Billy Neville at CrossFit South Wharf.",370th(8:55)165 reps(8:55)Judged by Jennifer Francis at CrossFit Craigieburn.,"645th(159 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 12 PUJudged by Brett Duffy at CrossFit Craigieburn."
293,"ERASTPALKIN
Europe North
Age 36
180 cm | 97 kg
View Profile",4890,"143rd(448 reps)14 rounds +
0 toes-to-barsJudged by Lyudmila Yakovleva at Soyuz CrossFit.","1005th(4:40)110 reps
366 lb.(4:40)Judged by Lyudmila Yakovleva at Soyuz CrossFit.",90th (366 lb)366 lb.(4:40)Judged by Lyudmila Yakovleva at Soyuz CrossFit.,"1119th(696 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups(12:40)Judged by Lyudmila Yakovleva at Soyuz CrossFit.","2134th(141 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
25 ft. handstand walk(8:36)Judged by Lyudmila Yakovleva at Soyuz CrossFit.","399th(164 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 17 PUJudged by Lyudmila Yakovleva at Soyuz CrossFit."
293,"DANESMITHACCEPTED
Mid Atlantic
Age 22
67 in | 175 lb
View Profile",4890,"1123rd(420 reps)13 rounds +
4 toes-to-barsJudged by Chuck Smith at CrossFit Krypton.","188th(4:15)110 reps
337 lb.(4:15)Judged by David Jones at CrossFit Krypton.",680th(337 lb)337 lb.(4:15)Judged by David Jones at CrossFit Krypton.,"2013th(691 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
7 ring muscle-ups(13:28)Judged by Chuck Smith at CrossFit Krypton.","767th(156 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
5 ft. handstand walk(8:57)Judged by Chuck Smith at CrossFit Krypton.","119th(173 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
5 thr.Judged by Chuck Smith at CrossFit Krypton."
295,"AGUSTINRICHELMEACCEPTED
South America
Age 21
173 cm | 80 kg
View Profile",4911,"839th(425 reps)13 rounds +
8 toes-to-bars
1 clean & jerksJudged by Nazareno Rapisardi at Suyai CrossFit Parque Chas.","78th(4:06)110 reps
311 lb.(4:06)Judged by Nazareno Rapisardi at Suyai CrossFit Parque Chas.",3300th(311 lb)311 lb.(4:06)Judged by Nazareno Rapisardi at Suyai CrossFit Parque Chas.,"250th(801 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
5 snatches(13:48)Judged by Nazareno Rapisardi at Suyai CrossFit Parque Chas.",410th(8:58)165 reps(8:58)Judged by Nazareno Rapisardi at Suyai CrossFit Parque Chas.,"34th (180 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
12 thr.Judged by Nazareno Rapisardi at Suyai CrossFit Parque Chas."
296,"MYUNG SIKKWAKACCEPTED
Asia
Age 26
176 cm | 170 lb
View Profile",4918,"446th(434 reps)13 rounds +
8 toes-to-bars
10 clean & jerksJudged by Boyoung Park at CrossFit Hannam.","1621st(4:51)110 reps
332 lb.(4:51)Judged by Boyoung Park at CrossFit Limelight.",1038th(332 lb)332 lb.(4:51)Judged by Boyoung Park at CrossFit Limelight.,"142nd(811 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
15 snatches(13:24)Judged by Boyoung Park at CrossFit Hannam.",177th(8:24)165 reps(8:24)Judged by Boyoung Park at CrossFit Hannam.,"1494th(148 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 1 PUJudged by Boyoung Park at CrossFit Hannam."
297,"TYLEREGGIMANNACCEPTED
South West
Age 25
70 in | 200 lb
View Profile",4926,"1336th(416 reps) 13 rounds +
0 toes-to-bars","418th(4:25)110 reps
336 lb.(4:25)Judged by Jamie Bell at Kulak CrossFit.",793rd(336 lb)336 lb.(4:25)Judged by Jamie Bell at Kulak CrossFit.,"1124th(696 reps) 1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups(12:44)","1053rd(152 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
6 deadlifts(7:56)Judged by Troy Bell at Kulak CrossFit.","202nd(169 reps) 3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
1 thr."
298,"IRVINGHERNANDEZ
South East
Age 30
60 in | 155 lb
View Profile",4958,"541st(433 reps)13 rounds +
8 toes-to-bars
9 clean & jerksJudged by Itzel Miranda at CrossFit Jaglion.","418th(4:25)110 reps
317 lb.(4:25)Judged by Itzel Miranda at CrossFit Jaglion.",2252nd(317 lb)317 lb.(4:25)Judged by Itzel Miranda at CrossFit Jaglion.,"55th (850 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
20 snatches
34 double-unders(12:48)Judged by Itzel Miranda at CrossFit Jaglion.","1514th(146 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk(8:02)Judged by Itzel Miranda at CrossFit Jaglion.","178th(170 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
2 thr.Judged by Gina Gonzalez at CrossFit Jaglion."
299,"PHILLIPGUILLOTACCEPTED
South Central
Age 29
70 in | 202 lb
View Profile",4960,"1123rd(420 reps)13 rounds +
4 toes-to-barsJudged by Nick Thayer at CrossFit NOLA Downtown.","963rd(4:39)110 reps
337 lb.(4:39)Judged by Nick Thayer at CrossFit NOLA Downtown.",696th(337 lb)337 lb.(4:39)Judged by Nick Thayer at CrossFit NOLA Downtown.,"922nd(711 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
15 double-unders(12:05)Judged by Nick Thayer at CrossFit Nola 504.","654th(158 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
15 ft. handstand walk(7:29)Judged by Jeff Germond at CrossFit Nola 504.","602nd(160 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 13 PUJudged by Corey Clay at CrossFit NOLA Downtown."
300,"STEVENBIDWELLACCEPTED
West Coast
Age 23
69 in | 180 lb
View Profile",4970,"1123rd(420 reps)13 rounds +
4 toes-to-barsJudged by orlando holt at CrossFit Inveniam.","276th(4:19)110 reps
317 lb.(4:19)Judged by Dylan Smith at CrossFit Inveniam.",2244th(317 lb)317 lb.(4:19)Judged by Dylan Smith at CrossFit Inveniam.,"186th(806 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
10 snatches(13:38)Judged by Patty Smith at CrossFit Inveniam.","780th(155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:51)Judged by Dylan Smith at CrossFit Inveniam.","361st(165 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 18 PUJudged by Dylan Smith at CrossFit Inveniam."
301,"COLBYTHOMASONACCEPTED
North Central
Age 27
69 in | 190 lb
View Profile",4984,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Brice Collier at Koda CrossFit.","1264th(4:45)110 reps
327 lb.(4:45)Judged by Jacob Colp at CrossFit Alter.",1335th (327 lb)327 lb.(4:45)Judged by Jacob Colp at CrossFit Alter.,"327th (797 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
1 snatches(13:58)Judged by Jacob Colp at CrossFit Alter.",302nd(8:47)165 reps(8:47)Judged by Nikki Short at Biffs CrossFit.,"856th (156 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 9 PUJudged by Scott Beard at CrossFit Alter."
302,"TOREYTHROOP
Central East
Age 29
72 in | 205 lb
View Profile",5008,"759th (427 reps)13 rounds +
8 toes-to-bars
3 clean & jerksJudged by Patrick Vulaj at CrossFit Deviate.","2191st(4:59)110 reps
367 lb.(4:59)Judged by Patrick Vulaj at CrossFit Deviate.",79th (367 lb)367 lb.(4:59)Judged by Patrick Vulaj at CrossFit Deviate.,"124th (813 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders
17 snatches(13:20)Judged by Patrick Vulaj at CrossFit Deviate.","606th (160 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
25 ft. handstand walk(8:40)Judged by Patrick Vulaj at CrossFit Deviate.","1249th (151 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 4 PUJudged by Patrick Vulaj at CrossFit Deviate."
302,"ANDREWST GERMAINACCEPTED
South Central
Age 30
68 in | 187 lb
View Profile",5008,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Wladimir Montoya at CrossFit Jaakarhu.","788th (4:35)110 reps
326 lb.(4:35)Judged by Wladimir Montoya at CrossFit Jaakarhu.",1463rd (326 lb)326 lb.(4:35)Judged by Wladimir Montoya at CrossFit Jaakarhu.,"828th (721 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
25 double-unders(12:13)Judged by Wladimir Montoya at CrossFit Jaakarhu.","851st (155 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts(8:59)Judged by Wladimir Montoya at CrossFit Jaakarhu.","178th (170 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
2 thr.Judged by Serge Lozano at CrossFit Jaakarhu."
304,"LOGANSOUTHARDACCEPTED
South East
Age 23
52 in | 69 lb
View Profile",5023,"1951st (408 reps)12 rounds +
8 toes-to-bars
10 clean & jerks
6 caloriesJudged by Aj Cagle at CrossFit Acworth.","249th (4:18)110 reps
324 lb.(4:18)Judged by Aj Cagle at CrossFit Acworth.",1732nd(324 lb)324 lb.(4:18)Judged by Aj Cagle at CrossFit Acworth.,"341st (796 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
100 double-unders(13:59)Judged by Patrick McGann at CrossFit Acworth.","548th (161 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
9 deadlifts
30 ft. handstand walk(8:40)Judged by Patrick McGann at CrossFit Acworth.","202nd (169 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
1 thr.Judged by Patrick McGann at CrossFit Acworth."
305,"NICKMATHEWACCEPTED
North Central
Age 24
69 in | 195 lb
View Profile",5034,"541st (433 reps)13 rounds +
8 toes-to-bars
9 clean & jerksJudged by Tony Koens at Timberwolf CrossFit.","742nd(4:34)110 reps
355 lb.(4:34)Judged by Tony Koens at Timberwolf CrossFit.",211th (355 lb)355 lb.(4:34)Judged by Tony Koens at Timberwolf CrossFit.,"1278th (695 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
11 ring muscle-ups(13:13)Judged by Nicholas Bock at Timberwolf CrossFit.","1480th (147 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
50 ft. handstand walk
1 deadlifts(8:26)Judged by Tony Koens at Timberwolf CrossFit.","782nd (157 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 10 PUJudged by Tony Koens at Timberwolf CrossFit."
306,"CJGERALD
Central East
Age 24
View Profile",5069,"593rd (431 reps)13 rounds +
8 toes-to-bars
7 clean & jerksJudged by Hunter Wigington at CrossFit 8085.","418th (4:25)110 reps
327 lb.(4:25)Judged by Kacie Wagner at CrossFit 8085.",1316th (327 lb)327 lb.(4:25)Judged by Kacie Wagner at CrossFit 8085.,"726th (733 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
37 double-unders(12:06)Judged by Hunter Wigington at CrossFit 8085.","1814th (143 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
35 ft. handstand walk(8:15)Judged by Hunter Wigington at CrossFit 8085.","202nd (169 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
1 thr.Judged by Kacie Wagner at CrossFit 8085."
307,"RYANSTARLINGTEAM
West Coast
Age 35
71 in | 200 lb
View Profile",5074,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Michael Hernandez at CrossFit Evermore.","963rd (4:39)110 reps
353 lb.(4:39)Judged by Michael Hernandez at CrossFit Evermore.",251st (353 lb)353 lb.(4:39)Judged by Michael Hernandez at CrossFit Evermore.,"609th (750 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
54 double-unders(11:51)Judged by Michael Hernandez at CrossFit Evermore.","2232nd(140 reps)21 deadlifts
21 handstand push-ups
15 deadlifts
15 handstand push-ups
9 deadlifts
9 handstand push-ups
21 deadlifts
50 ft. handstand walk
15 deadlifts
20 ft. handstand walk(7:45)Judged by Michael Hernandez at CrossFit Evermore.","119th (173 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 21 PU 
5 thr.Judged by Daniel Conner at CrossFit Evermore."
308,"KURTGARCEAU
North East
Age 30
70 in | 193 lb
View Profile",5095,"900th (424 reps)13 rounds +
8 toes-to-barsJudged by Courtney Garceau at CrossFit North Haven.","1054th(4:41)110 reps
337 lb.(4:41)Judged by Jacob Doyon at CrossFit North Haven.",698th (337 lb)337 lb.(4:41)Judged by Jacob Doyon at CrossFit North Haven.,"994th (704 reps)1 round +
100 double-unders
20 overhead squats
100 double-unders
12 ring muscle-ups
8 double-unders(13:50)Judged by Brian Gouin at CrossFit North Haven.",200th (8:29)165 reps(8:29)Judged by Jessica Seaver at CrossFit North Haven.,"1249th (151 reps)3 thr. 3 PU 
6 thr. 6 PU 
9 thr. 9 PU 
12 thr. 12 PU 
15 thr. 15 PU 
18 thr. 18 PU 
21 thr. 4 PUJudged by Brian Gouin at CrossFit North Haven."
